x_center   gbar_MC_norm   gbar_MC_raw      gbar_paper   gbar_err_paper
     0.225  1.000000e+00  2.184195e+00       1.0000          0.0400
     0.303  6.188182e-01  1.351619e+00       1.0700          0.0600
     0.495  3.207507e-01  7.005820e-01       1.1300          0.0400
      1.04  1.315096e-01  2.872425e-01       1.6000          0.1600
      1.26  9.957042e-02  2.174812e-01       1.3400          0.1800
      1.62  6.827722e-02  1.491307e-01       1.3700          0.1400
      2.35  3.180479e-02  6.946785e-02       1.5500          0.1500
         5  6.887850e-03  1.504441e-02       2.1100          0.3400
       7.2  2.751086e-03  6.008907e-03       2.2200          0.4400
      8.94  1.547474e-03  3.379984e-03       2.2000          0.3500
      12.1  7.987747e-04  1.744679e-03       2.4100          0.2200
      19.7  2.920332e-04  6.378573e-04       3.0000          0.1700
      41.6  8.360950e-05  1.826194e-04       3.5000          0.4300
      50.3  5.521599e-05  1.206025e-04       3.7900          0.3000
      64.6  3.481875e-05  7.605093e-05       3.6100          0.3000
      93.6  1.738643e-05  3.797535e-05       3.6600          0.1800
       198  6.332724e-06  1.383190e-05       4.0300          0.4400
       287  3.076185e-06  6.718987e-06       3.9800          0.9900
       356  0.000000e+00  0.000000e+00       3.3100          0.6800
       480  0.000000e+00  0.000000e+00       2.9200          0.5300
       784  0.000000e+00  0.000000e+00       2.3500          0.1800
  1.65e+03  0.000000e+00  0.000000e+00       1.5700          0.5400
     2e+03  0.000000e+00  0.000000e+00       0.8500          0.1200
  2.57e+03  0.000000e+00  0.000000e+00       0.7400          1.0500
  3.73e+03  0.000000e+00  0.000000e+00       0.2000          0.1400
chi^2/dof = 99.626 (target: < 2.0 for good agreement)
max |residual| = 20.333 sigma
