x_center   gbar_MC_norm   gbar_MC_raw      gbar_paper   gbar_err_paper
     0.225  1.000000e+00  2.195236e+00       1.0000          0.0400
     0.303  6.159562e-01  1.352169e+00       1.0700          0.0600
     0.495  3.209952e-01  7.046601e-01       1.1300          0.0400
      1.04  1.301583e-01  2.857281e-01       1.6000          0.1600
      1.26  9.784965e-02  2.148030e-01       1.3400          0.1800
      1.62  6.726652e-02  1.476659e-01       1.3700          0.1400
      2.35  3.200212e-02  7.025219e-02       1.5500          0.1500
         5  6.670831e-03  1.464405e-02       2.1100          0.3400
       7.2  2.754226e-03  6.046174e-03       2.2200          0.4400
      8.94  1.551376e-03  3.405635e-03       2.2000          0.3500
      12.1  7.932031e-04  1.741268e-03       2.4100          0.2200
      19.7  2.834878e-04  6.223224e-04       3.0000          0.1700
      41.6  8.313344e-05  1.824975e-04       3.5000          0.4300
      50.3  5.426623e-05  1.191272e-04       3.7900          0.3000
      64.6  3.379057e-05  7.417826e-05       3.6100          0.3000
      93.6  1.771664e-05  3.889219e-05       3.6600          0.1800
       198  6.417748e-06  1.408847e-05       4.0300          0.4400
       287  2.779471e-06  6.101593e-06       3.9800          0.9900
       356  0.000000e+00  0.000000e+00       3.3100          0.6800
       480  0.000000e+00  0.000000e+00       2.9200          0.5300
       784  0.000000e+00  0.000000e+00       2.3500          0.1800
  1.65e+03  0.000000e+00  0.000000e+00       1.5700          0.5400
     2e+03  0.000000e+00  0.000000e+00       0.8500          0.1200
  2.57e+03  0.000000e+00  0.000000e+00       0.7400          1.0500
  3.73e+03  0.000000e+00  0.000000e+00       0.2000          0.1400
chi^2/dof = 99.661 (target: < 2.0 for good agreement)
max |residual| = 20.333 sigma
