x_center   gbar_MC_norm   gbar_MC_raw      gbar_paper   gbar_err_paper
     0.225  1.000000e+00  2.198700e+00       1.0000          0.0400
     0.303  6.181198e-01  1.359060e+00       1.0700          0.0600
     0.495  3.197336e-01  7.029982e-01       1.1300          0.0400
      1.04  1.295458e-01  2.848324e-01       1.6000          0.1600
      1.26  9.823492e-02  2.159891e-01       1.3400          0.1800
      1.62  6.744902e-02  1.483001e-01       1.3700          0.1400
      2.35  3.153367e-02  6.933307e-02       1.5500          0.1500
         5  6.738528e-03  1.481600e-02       2.1100          0.3400
       7.2  2.637465e-03  5.798993e-03       2.2200          0.4400
      8.94  1.546669e-03  3.400662e-03       2.2000          0.3500
      12.1  7.827517e-04  1.721036e-03       2.4100          0.2200
      19.7  2.938242e-04  6.460312e-04       3.0000          0.1700
      41.6  8.595559e-05  1.889905e-04       3.5000          0.4300
      50.3  5.651232e-05  1.242536e-04       3.7900          0.3000
      64.6  3.632918e-05  7.987696e-05       3.6100          0.3000
      93.6  1.852033e-05  4.072065e-05       3.6600          0.1800
       198  6.293086e-06  1.383661e-05       4.0300          0.4400
       287  2.824806e-06  6.210900e-06       3.9800          0.9900
       356  0.000000e+00  0.000000e+00       3.3100          0.6800
       480  0.000000e+00  0.000000e+00       2.9200          0.5300
       784  0.000000e+00  0.000000e+00       2.3500          0.1800
  1.65e+03  0.000000e+00  0.000000e+00       1.5700          0.5400
     2e+03  0.000000e+00  0.000000e+00       0.8500          0.1200
  2.57e+03  0.000000e+00  0.000000e+00       0.7400          1.0500
  3.73e+03  0.000000e+00  0.000000e+00       0.2000          0.1400
chi^2/dof = 99.694 (target: < 2.0 for good agreement)
max |residual| = 20.333 sigma
