x_center   gbar_MC_norm   gbar_MC_raw      gbar_paper   gbar_err_paper
     0.225  0.000000e+00  0.000000e+00       1.0000          0.0400
     0.303  0.000000e+00  0.000000e+00       1.0700          0.0600
     0.495  0.000000e+00  0.000000e+00       1.1300          0.0400
      1.04  1.000000e+00  7.236113e+00       1.6000          0.1600
      1.26  0.000000e+00  0.000000e+00       1.3400          0.1800
      1.62  4.068585e-01  2.944074e+00       1.3700          0.1400
      2.35  3.944441e-01  2.854242e+00       1.5500          0.1500
         5  2.779521e+00  2.011293e+01       2.1100          0.3400
       7.2  8.702483e-01  6.297215e+00       2.2200          0.4400
      8.94  1.022723e+00  7.400540e+00       2.2000          0.3500
      12.1  8.365609e-01  6.053449e+00       2.4100          0.2200
      19.7  3.991016e-01  2.887944e+00       3.0000          0.1700
      41.6  6.160229e-02  4.457611e-01       3.5000          0.4300
      50.3  3.910577e-02  2.829738e-01       3.7900          0.3000
      64.6  1.950320e-02  1.411274e-01       3.6100          0.3000
      93.6  1.005014e-02  7.272394e-02       3.6600          0.1800
       198  8.486718e-04  6.141085e-03       4.0300          0.4400
       287  1.762975e-04  1.275709e-03       3.9800          0.9900
       356  6.973981e-05  5.046452e-04       3.3100          0.6800
       480  9.664869e-05  6.993608e-04       2.9200          0.5300
       784  6.335564e-05  4.584486e-04       2.3500          0.1800
  1.65e+03  1.402014e-06  1.014513e-05       1.5700          0.5400
     2e+03  0.000000e+00  0.000000e+00       0.8500          0.1200
  2.57e+03  0.000000e+00  0.000000e+00       0.7400          1.0500
  3.73e+03  0.000000e+00  0.000000e+00       0.2000          0.1400
chi^2/dof = 135.497 (target: < 2.0 for good agreement)
max |residual| = 28.250 sigma
