x_center   gbar_MC_norm   gbar_MC_raw      gbar_paper   gbar_err_paper
     0.225  1.000000e+00  5.499879e-02       1.0000          0.0400
     0.303  1.303302e+00  7.168002e-02       1.0700          0.0600
     0.495  2.271841e+00  1.249485e-01       1.1300          0.0400
      1.04  5.790732e+00  3.184832e-01       1.6000          0.1600
      1.26  6.768451e+00  3.722566e-01       1.3400          0.1800
      1.62  8.972864e+00  4.934967e-01       1.3700          0.1400
      2.35  1.033780e+01  5.685666e-01       1.5500          0.1500
         5  1.378923e+01  7.583908e-01       2.1100          0.3400
       7.2  1.288154e+01  7.084689e-01       2.2200          0.4400
      8.94  1.305555e+01  7.180397e-01       2.2000          0.3500
      12.1  1.313005e+01  7.221370e-01       2.4100          0.2200
      19.7  1.301686e+01  7.159113e-01       3.0000          0.1700
      41.6  1.885186e+01  1.036829e+00       3.5000          0.4300
      50.3  1.818584e+01  1.000199e+00       3.7900          0.3000
      64.6  1.628907e+01  8.958791e-01       3.6100          0.3000
      93.6  1.546448e+01  8.505276e-01       3.6600          0.1800
       198  2.667936e+01  1.467333e+00       4.0300          0.4400
       287  1.306378e+01  7.184921e-01       3.9800          0.9900
       356  1.455605e+01  8.005654e-01       3.3100          0.6800
       480  1.919392e+01  1.055643e+00       2.9200          0.5300
       784  0.000000e+00  0.000000e+00       2.3500          0.1800
  1.65e+03  0.000000e+00  0.000000e+00       1.5700          0.5400
     2e+03  0.000000e+00  0.000000e+00       0.8500          0.1200
  2.57e+03  0.000000e+00  0.000000e+00       0.7400          1.0500
  3.73e+03  0.000000e+00  0.000000e+00       0.2000          0.1400
chi^2/dof = 1249.139 (target: < 2.0 for good agreement)
max |residual| = 65.580 sigma
