v,drift_par,diff_par,diff_perp
0.0,4.177184892977323e-12,4.867862875676983e-05,9.719387581631398e-05
66666.66666666667,-1.3022759092593188e-10,4.548945398245972e-05,9.618186307521348e-05
133333.33333333334,-2.2810929601340664e-10,3.786958837518444e-05,9.457974723569607e-05
200000.0,-2.660582758822597e-10,2.8034738656386e-05,9.116457392741847e-05
266666.6666666667,-2.5863014076439933e-10,1.8314129362190334e-05,8.621253137803018e-05
333333.3333333334,-2.250430433757879e-10,1.0899626356477994e-05,8.062636340972894e-05
400000.0,-1.804924291101241e-10,5.799054837656222e-06,7.474322787289837e-05
466666.6666666667,-1.4668618658735983e-10,2.654776129636425e-06,6.899872232882839e-05
533333.3333333334,-1.1783191407811377e-10,7.196507212479989e-07,6.380487284095392e-05
600000.0,-9.622685739384191e-11,-4.6863696939978675e-07,5.9115101443830453e-05
