v,drift_par,diff_par,diff_perp
0.0,-0.0005472432215554998,53530.83143339556,107450.75490529332
54545.454545454544,-0.13232220447986695,60445.09298708098,112148.61293560661
109090.90909090909,-0.27573040365480805,80420.13086930671,124629.9131331976
163636.36363636365,-0.43633756432579063,115501.83971745103,147731.50046974517
218181.81818181818,-0.6237040661278894,168203.99751478212,180735.9431320523
272727.2727272727,-0.8477307648663244,243442.55913963722,226551.25796692556
327272.7272727273,-1.1093071813024418,344718.551318177,287927.75698279636
381818.1818181818,-1.4079815807412313,474448.535278128,361754.52596128697
436363.63636363635,-1.746160992522794,637343.2541773199,454016.22623520746
490909.0909090909,-2.130318719868771,841101.9609641345,566201.1214723665
545454.5454545454,-2.5575743619912368,1088600.9760061598,702704.3689768983
600000.0,-3.0336323912205803,1387869.7855398979,865028.5100562603
