v,drift_par,drift_par_err,diff_par,diff_par_err,diff_perp,diff_perp_err,acceptance,blocks,accepts
0.0,2.674575825390807e-11,1.3435615657236273e-10,4.9305849290149624e-05,8.767344677588948e-06,0.00013115335530483488,3.396311744451993e-05,0.019480711335589172,157,50110
66666.66666666667,-2.345631050012846e-10,1.2844412409196113e-10,4.7531357254589175e-05,3.365060511901229e-06,0.00010330201494841902,8.669737262120055e-06,0.020376790364583335,150,50078
133333.33333333334,-9.042510695955233e-11,1.0852710452149234e-10,3.8541578663090226e-05,3.862349327857383e-06,8.700005101707465e-05,6.653580959172019e-06,0.019982830371732027,153,50092
200000.0,-3.8951328871199087e-10,9.322186228808837e-11,3.403439721976255e-05,3.1740330969283043e-06,0.0001114399235874481,1.835632318813826e-05,0.01764304100433526,173,50008
266666.6666666667,-1.966337573794109e-10,7.775757611062018e-11,2.7050016416773113e-05,5.284142498688004e-06,7.749100546179271e-05,6.385076390991323e-06,0.018169948032924106,168,50013
333333.3333333334,-2.120440447071814e-10,5.959046487621158e-11,1.9064607230962157e-05,8.844061408931829e-06,6.19151107504866e-05,5.457922024925037e-06,0.01706392938198324,179,50044
400000.0,-2.265543937723892e-10,4.767926083277307e-11,1.3773287542385712e-05,3.881765318063929e-06,6.95080830825793e-05,9.98189140815116e-06,0.017242948887711863,177,50004
466666.6666666667,-1.5864397647352766e-10,2.8914308060695433e-11,7.492661179306532e-06,1.2355696070503706e-06,6.18570216579138e-05,6.28250604467375e-06,0.016770247574690936,182,50007
533333.3333333334,-1.138785763633212e-10,2.328879479023141e-11,4.973760803533683e-06,6.954760556203259e-07,4.7108499477544005e-05,3.533844958955868e-06,0.01651248416385135,185,50050
600000.0,-1.1486525498232551e-10,2.5631683943765456e-11,6.305334706750236e-06,2.1608195788715963e-06,5.3391278558809426e-05,5.250283686274755e-06,0.01659194282863451,184,50019
